"","Name","PassportID","Gender","DateOfBirth","Age","Nationality","University","Commission","YearOfAdmission"
"1","Sara Al-Farsi","MY923724","Female","15/7/1995",21,"Oman","UM",3000,2016
"2","Ahmed Al-Rashid","MY812345","Male","22/11/1996",20,"Saudi Arabia","UPM",3500,2016
"3","Leila Abbas","MY721856","Female","10/4/1994",22,"Iraq","UM",2800,2016
"4","Kareem Al-Mahdi","MY634872","Male","5/2/1995",21,"Sudan","UTM",3200,2016
"5","Yasmin Ahmed","MY583910","Female","3/8/1994",22,"Somalia","USM",2900,2016
"6","Hassan Mohammed","MY427197","Male","12/6/1996",20,"Kenya","UM",3100,2016
"7","Aisha Hussein","MY329678","Female","20/10/1995",21,"Yemen","UTM",2700,2016
"8","Nour Al-Ali","MY266491","Male","2/12/1994",22,"Egypt","UPM",3000,2016
"9","Ali Mahmoud","MY197842","Male","11/3/1995",21,"Palestine","UM",2900,2016
"10","Yasir Hassan","MY142736","Male","9/9/1996",20,"Sudan","USM",3300,2016
"11","Fatima Abdullah","MY087433","Female","28/1/1994",22,"Saudi Arabia","UPM",3500,2016
"12","Amir Ibrahim","MY003729","Male","17/11/1994",22,"Somalia","UTM",2800,2016
"13","Sara Al-Masri","MY956242","Female","25/5/1995",21,"Syria","UM",3000,2016
"14","Omar El-Sayed","MY892335","Male","3/9/1996",20,"Egypt","USM",3200,2016
"15","Aisha Abdulrahman","MY768891","Female","8/2/1994",22,"UAE","UM",3100,2016
"16","Ahmed Al-Mansoori","MY782315","Male","21/8/1996",21,"UAE","UM",2800,2017
"17","Fatima Ali","MY653421","Female","18/2/1995",22,"Iraq","UPM",3200,2017
"18","Karim Al-Hassan","MY527834","Male","3/12/1994",23,"Egypt","UM",2900,2017
"19","Yasmin Al-Khalid","MY419732","Female","12/5/1996",21,"Saudi Arabia","UTM",3100,2017
"20","Omar El-Mahdi","MY352918","Male","29/9/1995",22,"Sudan","USM",3000,2017
"21","Leila Al-Said","MY286513","Female","8/11/1994",23,"Lebanon","UM",3300,2017
"22","Amir Al-Amin","MY217945","Male","14/6/1996",21,"Libya","UPM",3100,2017
"23","Sara Hassan","MY169726","Female","25/3/1995",22,"Yemen","UM",2800,2017
"24","Hassan Ibrahim","MY082453","Male","19/7/1994",23,"Pakistan","UPM",3200,2017
"25","Nour Al-Mansoori","MY041625","Male","10/9/1996",21,"UAE","UTM",3000,2017
"26","Aisha Ali","MY975842","Female","29/1/1995",22,"Iraq","UM",2900,2017
"27","Kareem Al-Hassan","MY822760","Male","16/4/1994",23,"Egypt","USM",3100,2017
